carat,color,clarity,depth,table,x,y,z,price
0.22,E,VS2,65.1,61,3.87,3.78,2.49,337
0.86,E,SI2,55.1,69,6.45,6.33,3.52,2757
0.96,F,SI2,66.3,62,6.27,5.95,4.07,2759
0.7,F,VS2,64.5,57,5.57,5.53,3.58,2762
0.7,F,VS2,65.3,55,5.63,5.58,3.66,2762
0.91,H,SI2,64.4,57,6.11,6.09,3.93,2763
0.91,H,SI2,65.7,60,6.03,5.99,3.95,2763
0.98,H,SI2,67.9,60,6.05,5.97,4.08,2777
0.84,G,SI1,55.1,67,6.39,6.2,3.47,2782
1.01,E,I1,64.5,58,6.29,6.21,4.03,2788
1.05,J,SI2,65.8,59,6.41,6.27,4.18,2789
0.7,G,VVS1,58.8,66,5.81,5.9,3.44,2797
1.01,E,SI2,67.4,60,6.19,6.05,4.13,2797
0.76,G,VS1,59,70,5.89,5.8,3.46,2800
0.9,I,SI1,67.3,59,5.93,5.84,3.96,2804
0.57,E,VVS1,58.7,66,5.34,5.43,3.16,2805
0.74,F,VS2,61.1,68,5.82,5.75,3.53,2805
1,G,I1,66.4,59,6.16,6.09,4.07,2808
1.2,F,I1,64.6,56,6.73,6.66,4.33,2809
1,J,VS2,65.7,59,6.14,6.07,4.01,2811
0.99,I,SI2,68.1,56,6.21,6.06,4.18,2811
0.99,J,SI1,55,61,6.72,6.67,3.68,2812
0.9,J,VS2,65,56,6.08,6.04,3.94,2815
0.95,F,SI2,56,60,6.62,6.53,3.68,2815
0.96,E,SI2,53.1,63,6.73,6.65,3.55,2815
1,H,SI2,65.3,62,6.34,6.12,4.08,2818
0.9,H,SI2,65.8,54,6.05,5.98,3.96,2823
0.91,H,SI2,61.3,67,6.24,6.19,3.81,2825
0.9,G,SI2,65.3,59,6.07,6,3.94,2834
0.82,F,SI1,64.9,58,5.83,5.79,3.77,2838
0.95,G,SI1,66.7,56,6.16,6.03,4.06,2841
1.01,H,SI2,65.4,59,6.3,6.26,4.11,2846
0.75,D,SI2,64.6,57,5.74,5.72,3.7,2848
0.91,J,VS2,64.4,62,6.06,6.03,3.89,2854
0.91,J,VS2,65.4,60,6.04,6,3.94,2854
0.91,H,SI1,65.8,58,6.04,6.01,3.96,2854
0.98,E,SI2,53.3,67,6.82,6.74,3.61,2855
1.02,I,SI1,53,63,6.84,6.77,3.66,2856
1,G,SI2,67.8,61,5.96,5.9,4.02,2856
1,I,SI1,67.9,62,6.19,6.03,4.15,2856
1,H,SI2,66.1,56,6.21,5.97,4.04,2856
0.9,G,SI2,64.5,56,6.06,6,3.89,2858
0.71,D,VS2,56.9,65,5.89,5.84,3.34,2858
0.75,F,VS1,55.8,70,6.09,5.98,3.37,2859
0.62,F,IF,60.1,61,5.53,5.56,3.33,2861
1.01,E,SI2,67.6,57,6.21,6.11,4.18,2862
0.96,F,SI2,68.2,61,6.07,5.88,4.1,2867
1,H,SI1,65.5,62,6.14,6.07,4,2873
0.9,I,SI1,65.7,58,6.03,6,3.95,2873
0.9,I,SI1,65.3,61,5.98,5.94,3.89,2873
0.9,I,SI1,65.8,56,6.01,5.96,3.94,2873
1,H,SI2,67.7,60,6.11,5.98,4.09,2875
1,J,VS1,65.5,55,6.3,6.25,4.11,2875
1,I,SI1,66.3,61,6.08,6.03,4.01,2875
1,H,SI2,69.5,55,6.17,6.1,4.26,2875
0.72,F,VS1,56.9,69,5.93,5.77,3.33,2879
0.88,F,SI1,56.6,65,6.39,6.32,3.6,2882
0.9,H,SI2,65,61,6.01,5.96,3.89,2883
1.03,I,SI2,65.3,55,6.32,6.27,4.11,2884
0.8,E,SI1,56.3,63,6.22,6.14,3.48,2885
0.9,D,SI2,66.9,57,6.02,5.9,3.99,2885
1.19,H,I1,65.1,59,6.62,6.55,4.29,2892
0.71,E,VS2,64.6,59,5.62,5.59,3.62,2902
1,H,SI2,65.2,54,6.3,6.22,4.08,2912
1,I,SI1,66,56,6.31,6.24,4.13,2912
1,H,SI2,67,55,6.25,6.12,4.16,2912
0.9,I,VS2,64.1,66,6.04,5.98,3.85,2921
0.9,E,SI2,65,58,6.08,6.04,3.94,2930
1.17,I,I1,65.4,62,6.68,6.57,4.33,2935
0.75,E,VS2,56,67,6.18,6.08,3.43,2940
1.03,G,SI2,65.7,59,6.3,6.24,4.12,2942
1.01,G,SI2,67.1,59,6.27,6.19,4.18,2942
0.9,I,SI2,66.4,60,5.92,5.86,3.91,2948
1,E,SI2,65.8,58,6.28,6.16,4.09,2948
0.99,J,SI1,58,67,6.57,6.5,3.79,2949
0.98,F,SI2,61.6,66,6.46,6.24,3.92,2958
0.74,G,VVS2,65.2,58,5.7,5.6,3.69,2959
0.7,E,VS1,64.5,57,5.59,5.55,3.59,2964
0.9,F,SI2,65.7,59,6.03,5.99,3.95,2964
0.9,J,VS1,65.4,60,6.02,5.93,3.91,2964
1,G,SI1,65.7,54,6.24,6.16,4.07,2964
1.5,H,I1,65.6,54,7.26,7.09,4.7,2964
0.9,J,VS1,64.6,58,6.12,6.06,3.93,2964
1.13,H,I1,64.8,59,6.52,6.42,4.19,2968
0.91,F,SI1,64.9,57,6.13,6.08,3.96,2971
1,D,SI2,69.3,58,5.96,5.87,4.1,2974
0.9,E,SI2,65.8,59,6.03,5.98,3.95,2982
1.06,J,SI2,61,66,6.54,6.35,3.93,2992
1.01,G,SI1,65.1,57,6.27,6.22,4.07,2993
0.91,F,SI2,65.3,51,6.05,5.98,3.93,2996
1.01,J,VVS2,66,56,6.29,6.22,4.13,2998
